DSS y Ruta Materna Perinatal,Fecha,Región en Salud,Región Salud,Municipio,NOMBRE DEL PRESTADOR - ESE,Servicios,"Problema trazador priorizado",Fuentes,Responsable del diligenciamiento,"Identificación de Determinantes Sociales de la Salud										",Identificación de Determinantes Sociales de la Salud.,Categoría del determinante,Subcategoría,Determinante identificado,Descripción del hallazgo,Evidencia o fuente de información,Relación con el problema trazador,Nivel de incidencia,"Barrera identificada, marcacion multiple.",Oportunidad de mejora preliminar,Observaciones,Síntesis del análisis DSS,Determinante crítico identificado,Categoría principal asociada,Barrera más relevante,Relación con la Ruta Materna Perinatal,Oportunidad de mejora prioritaria,Insumo para Protocolo de Londres,Síntesis del análisis Ruta Materna,Motivo de canalización,Tipo de Canalización (Receptor) *,Comentarios Adicionales,Matriz de análisis de la Ruta Materno Perinatal,Número,Momento de la ruta,Atención clave,Actividad esperada,Indicador de seguimiento,Meta establecida (Ingrese la meta institucional o territorial esperada en  porcentaje),Meta alcanzada (Ingresa el resultado logrado en porcentaje),Brecha (Se calcula como meta establecida menos meta alcanzada),Semáforo,Evidencia o fuente de verificación,Cumplimiento,Brecha identificada (Describa la diferencia entre lo esperado y lo observado),Tipo de Barrera,Barrera de acceso o continuidad,Tipo de determinante,Determinante relacionado,Relación con el problema trazador,Nivel de criticidad,Oportunidad de mejora (Propongo una acción concreta para cerrar la brecha y fortalecer la ruta),Responsable sugerido,Observaciones
DSS y Ruta Materna Perinatal,,Bajo Magdalena,Bajo Magdalena,Caparrapí,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,Anestesiología,Anestesiología,RIPS,,"Identificación de Determinantes Sociales de la Salud										",1,Determinantes estructurales,Contexto socioeconómico y político,,,Historia clínica,Directa,Alto,Pobreza e inequidad económica,,,Síntesis del análisis DSS,,,Pobreza e inequidad económica,"Incapacidad económica para cubrir gastos de transporte, medicamentos o exámenes no cubiertos",,,Síntesis del análisis Ruta Materna,Gestante sin control prenatal o no adherente a controles.,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,1,Planificación familiar y anticoncepción,Consejería anticonceptiva,Valorar intención reproductiva,Cobertura de anticoncepción,100%,100%,0%,Muy bueno,Historia clínica,Cumple,,Barreras Administrativas,Demoras en la asignación de citas de control prenatal y especialidades,Determinantes Estructurales,Inequidad socioeconómica y pobreza monetaria o extrema,Directa,Alto,,,
DSS y Ruta Materna Perinatal,,Bajo Magdalena,Bajo Magdalena,Chaguaní,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,Atención Domiciliaria,Atención Domiciliaria,Registros de atención,,"Identificación de Determinantes Sociales de la Salud										",2,Determinantes estructurales,Posición social,,,RIPS,Indirecta,Medio,Falta de acceso a educación de calidad,,,Síntesis del análisis DSS,,,Falta de acceso a educación de calidad,Inestabilidad laboral e imposibilidad de obtener permisos para asistir a los controles informados,,,Síntesis del análisis Ruta Materna,Persona gestante o post evento obstétrico con diagnóstico de VIH sin inclusión en el programa,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,2,Planificación familiar y anticoncepción,Consejería anticonceptiva,Valorar intención reproductiva,Demanda insatisfecha de anticoncepción,100%,99%,1%,Muy bueno,RIPS,Cumple parcialmente,,Barreras Administrativas,Trámites complejos y demoras en autorizaciones,Determinantes Estructurales,"Nivel educativo, analfabetismo o bajo logro académico",Indirecta,Medio,,,
DSS y Ruta Materna Perinatal,,Bajo Magdalena,Bajo Magdalena,Guaduas,E.S.E. HOSPITAL SAN JOSE DE GUADUAS,Banco de Sangre,Banco de Sangre,Reportes estadísticos,,"Identificación de Determinantes Sociales de la Salud										",3,Determinantes estructurales,Políticas públicas,,,Reporte de evento adverso,Contribuyente,Bajo,Desempleo e informalidad laboral,,,Síntesis del análisis DSS,,,Desempleo e informalidad laboral,Baja alfabetización en salud materna y desconocimiento de los derechos e importancia de la ruta,,,Síntesis del análisis Ruta Materna,Persona gestante con diagnóstico de sífilis sin tratamiento y/o sin seguimiento serológico,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,3,Planificación familiar y anticoncepción,Consejería anticonceptiva,Valorar intención reproductiva,Seguimiento post entrega del método,100%,98%,2%,Muy bueno,Reporte de evento adverso,No cumple,,Barreras Administrativas,Fragmentación de la red de prestadores,Determinantes Estructurales,"Pertenencia étnica, racismo y discriminación estructural",Contribuyente,Bajo,,,
DSS y Ruta Materna Perinatal,,Bajo Magdalena,Bajo Magdalena,Puerto Salgar,E.S.E. HOSPITAL DIOGENES TRONCOSO DE PUERTO SALGAR,Cardiología,Cardiología,Bases de datos internas,,"Identificación de Determinantes Sociales de la Salud										",4,Determinantes estructurales,Organización del sistema de salud,,,Entrevista al paciente/familia,Condicionante,,Inseguridad alimentaria y malnutrición,,,Síntesis del análisis DSS,,,Inseguridad alimentaria y malnutrición,Barreras geográficas y gran distancia o falta de transporte hacia centros de atención materna capacitados,,,Síntesis del análisis Ruta Materna,Gestante en quien se confirmó o se sospechó ETV,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,4,Planificación familiar y anticoncepción,Consejería anticonceptiva,Informar opciones y signos de alarma,Cobertura de anticoncepción,100%,97%,3%,Muy bueno,Entrevista al paciente/familia,No aplica,,Barreras Administrativas,Inexistencia o vencimiento de convenios entre EAPB e IPS,Determinantes Estructurales,"Desigualdad territorial, aislamiento y ruralidad dispersa",Condicionante,,,,
DSS y Ruta Materna Perinatal,,Centro,Centro,Anapoima,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,Central de Mezclas,Central de Mezclas,Otra fuente oficial,,"Identificación de Determinantes Sociales de la Salud										",5,Determinantes estructurales,Condiciones territoriales,,,Entrevista al personal,Por confirmar,,Vivienda inadecuada o precaria,,,Síntesis del análisis DSS,,,Vivienda inadecuada o precaria,"Falta de acceso a agua potable, saneamiento básico e higiene adecuada durante la gestación",,,Síntesis del análisis Ruta Materna,Persona gestante sin consulta odontológica,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,5,Planificación familiar y anticoncepción,Consejería anticonceptiva,Informar opciones y signos de alarma,Demanda insatisfecha de anticoncepción,100%,96%,4%,Muy bueno,Entrevista al personal,,,Barreras Administrativas,Falta de portabilidad del aseguramiento,Determinantes Estructurales,"Políticas públicas, gobernanza e inversión en salud insuficientes",Por confirmar,,,,
DSS y Ruta Materna Perinatal,,Centro,Centro,Anolaima,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,Cirugía Cardiovascular,Cirugía Cardiovascular,,,"Identificación de Determinantes Sociales de la Salud										",6,Determinantes estructurales,Nivel educativo,,,Observación directa,,,"Falta de acceso a servicios básicos (agua potable, saneamiento, electricidad)",,,Síntesis del análisis DSS,,,"Falta de acceso a servicios básicos (agua potable, saneamiento, electricidad)",Inseguridad alimentaria y desnutrición en la gestante,,,Síntesis del análisis Ruta Materna,Persona gestante con morbilidades crónicas,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,6,Planificación familiar y anticoncepción,Consejería anticonceptiva,Informar opciones y signos de alarma,Seguimiento post entrega del método,100%,95%,5%,Muy bueno,Observación directa,,,Barreras Administrativas,Inconsistencias en la afiliación y bases de datos,Determinantes Estructurales,"Contexto de conflicto armado, orden público y violencia estructural",,,,,
DSS y Ruta Materna Perinatal,,Centro,Centro,Cachipay,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,Cirugía General,Cirugía General,,,"Identificación de Determinantes Sociales de la Salud										",7,Determinantes estructurales,Ocupación,,,Auditoría clínica,,,Barreras geográficas y deficiencia en el transporte público,,,Síntesis del análisis DSS,,,Barreras geográficas y deficiencia en el transporte público,Falta de aseguramiento en salud o trámites administrativos complejos e inequitativos,,,Síntesis del análisis Ruta Materna,Persona gestante o con sospecha de embarazo y deseo de Interrupción Voluntaria del Embarazo,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,7,Planificación familiar y anticoncepción,Consejería anticonceptiva,Garantizar acceso efectivo al método,Cobertura de anticoncepción,100%,94%,6%,Muy bueno,Auditoría clínica,,,Barreras Administrativas,Agendas cerradas para procedimientos y consultas,Determinantes Estructurales,Discriminación y brechas de género en el acceso a oportunidades,,,,,
DSS y Ruta Materna Perinatal,,Centro,Centro,El Colegio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO,Cirugía Maxilofacial,Cirugía Maxilofacial,,,"Identificación de Determinantes Sociales de la Salud										",8,Determinantes estructurales,Ingresos,,,Comité de seguridad del paciente,,,Inequidad y barreras financieras en el acceso a la atención médica,,,Síntesis del análisis DSS,,,Inequidad y barreras financieras en el acceso a la atención médica,"Discriminación, xenofobia o maltrato (violencia obstétrica) hacia poblaciones vulnerables, afro o indígenas",,,Síntesis del análisis Ruta Materna,Persona en puerperio o post aborto sin método anticonceptivo,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,8,Planificación familiar y anticoncepción,Consejería anticonceptiva,Garantizar acceso efectivo al método,Demanda insatisfecha de anticoncepción,100%,93%,7%,Muy bueno,Comité de seguridad del paciente,,,Barreras Administrativas,Exigencia indebida de copagos o cuotas moderadoras,Determinantes Estructurales,"Dinámicas de migración, desplazamiento forzado e informalidad legal",,,,,
DSS y Ruta Materna Perinatal,,Centro,Centro,La Mesa,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ,Cirugía Pediátrica,Cirugía Pediátrica,,,"Identificación de Determinantes Sociales de la Salud										",9,Determinantes estructurales,Pertenencia étnica,,,Reporte estadístico,,,"Discriminación y exclusión social (por género, raza, etnia, edad o estatus migratorio)",,,Síntesis del análisis DSS,,,"Discriminación y exclusión social (por género, raza, etnia, edad o estatus migratorio)",Barreras lingüísticas y culturales en la atención del embarazo y parto respetado,,,Síntesis del análisis Ruta Materna,Neonato sin consulta de control del recién nacido,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,9,Planificación familiar y anticoncepción,Consejería anticonceptiva,Garantizar acceso efectivo al método,Seguimiento post entrega del método,100%,92%,8%,Muy bueno,Reporte estadístico,,,Barreras Geográficas y de Acceso Físico,Distancias prolongadas entre la residencia y la IPS,Determinantes Intermedios,"Condiciones de la vivienda, hacinamiento y materialidad precaria",,,,,
DSS y Ruta Materna Perinatal,,Centro,Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,Cirugía Plástica,Cirugía Plástica,,,"Identificación de Determinantes Sociales de la Salud										",10,Determinantes estructurales,Género,,,Base de datos institucional,,,Entornos ambientales contaminados o de alto riesgo,,,Síntesis del análisis DSS,,,Entornos ambientales contaminados o de alto riesgo,"Vivienda en hacinamiento, precariedad o exposición a entornos de contaminación y violencia",,,Síntesis del análisis Ruta Materna,Menor de un año con antecedentes de bajo peso al nacer sin control (2500 Gr),"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,10,Planificación familiar y anticoncepción,Consejería anticonceptiva,Registrar consentimiento y seguimiento,Cobertura de anticoncepción,100%,91%,9%,Muy bueno,Base de datos institucional,,,Barreras Geográficas y de Acceso Físico,Escasez o alto costo del transporte,Determinantes Intermedios,"Cobertura, disponibilidad y acceso a agua potable",,,,,
