Región Salud,Municipio,NOMBRE DEL PRESTADOR - ESE
Bajo Magdalena,Caparrapí,E.S.E. HOSPITAL SAN JOSE DE GUADUAS
Bajo Magdalena,Chaguaní,E.S.E. HOSPITAL SAN JOSE DE GUADUAS
Bajo Magdalena,Guaduas,E.S.E. HOSPITAL SAN JOSE DE GUADUAS
Bajo Magdalena,Puerto Salgar,E.S.E. HOSPITAL DIOGENES TRONCOSO DE PUERTO SALGAR
Centro,Anapoima,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ
Centro,Anolaima,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA
Centro,Cachipay,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ
Centro,El Colegio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE EL COLEGIO
Centro,La Mesa,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ
Centro,Quipile,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA
Centro,San Antonio Del Tequendama,E.S.E. HOSPITAL SAN ANTONIO DEL TEQUENDAMA
Centro,Tena,E.S.E. HOSPITAL PEDRO LEON ALVAREZ DIAZ
Centro Oriente Almeidas,Chocontá,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS
Centro Oriente Almeidas,Macheta,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS
Centro Oriente Almeidas,Manta,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS
Centro Oriente Almeidas,Suesca,E.S.E. HOSPITAL NUESTRA SEÑORA DEL ROSARIO SUESCA
Centro Oriente Almeidas,Tibirita,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS
Centro Oriente Almeidas,Villapinzón,E.S.E. REGION DE SALUD CENTRO ORIENTE ALMEIDAS
Centro Oriente Guavio,Gachala,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA
Centro Oriente Guavio,Gachetá,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA
Centro Oriente Guavio,Gama,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA
Centro Oriente Guavio,Guasca,E.S.E. HOSPITAL SAN ANTONIO DE GUATAVITA
Centro Oriente Guavio,Guatavita,E.S.E. HOSPITAL SAN ANTONIO DE GUATAVITA
Centro Oriente Guavio,Junín,E.S.E POLICLINICO DE JUNIN
Centro Oriente Guavio,La Calera,E.S.E. HOSPITAL DIVINO SALVADOR DE SOPO
Centro Oriente Guavio,Sopó,E.S.E. HOSPITAL DIVINO SALVADOR DE SOPO
Centro Oriente Guavio,Tocancipá,CARE & HEALTH S.A.S
Centro Oriente Guavio,Ubalá,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA
Medina,Medina,E.S.E. REGION DE SALUD MEDINA
Medina,Paratebueno,E.S.E. REGION DE SALUD MEDINA
Medina,Ubalá,E.S.E. REGION DE SALUD MEDINA
Noroccidente,La Peña,E.S.E. HOSPITAL SALAZAR VILLETA
Noroccidente,La Vega,E.S.E. HOSPITAL DE LA VEGA
Noroccidente,Nimaima,E.S.E. CENTRO DE SALUD SAN JOSE DE NIMAIMA
Noroccidente,Nocaima,E.S.E. HOSPITAL DE LA VEGA
Noroccidente,Quebradanegra,E.S.E. HOSPITAL SALAZAR VILLETA
Noroccidente,San Francisco,E.S.E. CENTRO DE SALUD SAN FRANCISCO DE SALES
Noroccidente,Sasaima,E.S.E. HOSPITAL HILARIO LUGO DE SASAIMA
Noroccidente,Útica,E.S.E. HOSPITAL SALAZAR VILLETA
Noroccidente,Vergara,E.S.E. HOSPITAL SANTA BARBARA DE VERGARA
Noroccidente,Villeta,E.S.E. HOSPITAL SALAZAR VILLETA
Nororiente,Carmen De Carupa,ESE HOSPITAL HABACUC CALDERON DE CARMEN DE CARUPA
Nororiente,Cucunubá,E.S.E. CENTRO DE SALUD CUCUNUBA
Nororiente,Fúquene,E.S.E. HOSPITAL EL SALVADOR DE UBATE
Nororiente,Guachetá,ESE HOSPITAL SAN JOSE DE GUACHETA
Nororiente,Lenguazaque,E.S.E. HOSPITAL EL SALVADOR DE UBATE
Nororiente,Simijaca,E.S.E. HOSPITAL EL SALVADOR DE UBATE
Nororiente,Susa,E.S.E. HOSPITAL EL SALVADOR DE UBATE
Nororiente,Sutatausa,E.S.E. HOSPITAL EL SALVADOR DE UBATE
Nororiente,Tausa,E.S.E. E.S.E. CENTRO DE SALUD DE TAUSA
Nororiente,Villa De San Diego De Ubate,E.S.E. HOSPITAL EL SALVADOR DE UBATE
Norte,El Peñón,E.S.E. CAYETANO MARIA DE ROJAS
Norte,La Palma,E.S.E. HOSPITAL SAN JOSE
Norte,Pacho,E.S.E. HOSPITAL SAN RAFAEL DE PACHO
Norte,Paime,E.S.E. HOSPITAL SAN RAFAEL DE PACHO
Norte,Supatá,E.S.E. HOSPITAL SAN RAFAEL DE PACHO
Norte,Topaipí,E.S.E. HOSPITAL SAN RAFAEL DE PACHO
Norte,Villagómez,E.S.E. HOSPITAL SAN RAFAEL DE PACHO
Norte,Yacopí,E.S.E. HOSPITAL SAN JOSE
Sabana Centro,Cajicá,ESE HOSPITAL PROFESOR JORGE CAVELIER -I- NIVEL DE ATENCION CAJICA
Sabana Centro,Chía,E.S.E. HOSPITAL SAN ANTONIO CHIA
Sabana Centro,Cogua,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA
Sabana Centro,Cota,E.S.E. HOSPITAL SAN ANTONIO CHIA
Sabana Centro,Gachancipá,ESE HOSPITAL SAN ANTONIO
Sabana Centro,Nemocón,ESE HOSPITAL SAN VICENTE DE PAUL DE NEMOCON
Sabana Centro,San Cayetano,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA
Sabana Centro,Sesquilé,ESE HOSPITAL SAN ANTONIO
Sabana Centro,Tabio,ESE HOSPITAL NUESTRA SEÑORA DEL CARMEN DE TABIO
Sabana Centro,Tenjo,E.S.E. HOSPITAL SANTA ROSA DE TENJO
Sabana Centro,Zipaquirá,ESE HOSPITAL UNIVERSITARIO DE LA SAMARITANA
Sabana Centro Occidente,Albán,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ
Sabana Centro Occidente,Beltrán,E.S.E. HOSPITAL SAN VICENTE DE PAUL
Sabana Centro Occidente,Bituima,E.S.E. HOSPITAL SAN VICENTE DE PAUL
Sabana Centro Occidente,Bojacá,E.S.E. HOSPITAL SANTA MATILDE DE MADRID
Sabana Centro Occidente,El Rosal,E.S.E. HOSPITAL SANTA MATILDE DE MADRID
Sabana Centro Occidente,Facatativá,E.S.E HOSPITAL SAN RAFAEL DE FACATATIVÁ
Sabana Centro Occidente,Funza,E.S.E. DEL ORDEN DEPARTAMENTAL HOSPITAL NUESTRA SEÑORA DE LAS MERCEDES DEL MUNICIPIO DE FUNZA
