Momento de la ruta,Atención clave,Actividad esperada,Indicador de seguimiento
Remisión y referencia oportuna,Referencia oportuna,Referencia oportuna,Remisiones oportunas
Remisión y referencia oportuna,Referencia oportuna,Referencia oportuna,Contrarreferencias recibidas
Remisión y referencia oportuna,Referencia oportuna,Referencia oportuna,Seguimiento de remisiones
Remisión y referencia oportuna,Referencia oportuna,Contrarreferencia efectiva,Remisiones oportunas
Remisión y referencia oportuna,Referencia oportuna,Contrarreferencia efectiva,Contrarreferencias recibidas
Remisión y referencia oportuna,Referencia oportuna,Contrarreferencia efectiva,Seguimiento de remisiones
Remisión y referencia oportuna,Referencia oportuna,Seguimiento de remisiones,Remisiones oportunas
Remisión y referencia oportuna,Referencia oportuna,Seguimiento de remisiones,Contrarreferencias recibidas
Remisión y referencia oportuna,Referencia oportuna,Seguimiento de remisiones,Seguimiento de remisiones
Remisión y referencia oportuna,Contrarreferencia efectiva,Referencia oportuna,Remisiones oportunas
Remisión y referencia oportuna,Contrarreferencia efectiva,Referencia oportuna,Contrarreferencias recibidas
Remisión y referencia oportuna,Contrarreferencia efectiva,Referencia oportuna,Seguimiento de remisiones
Remisión y referencia oportuna,Contrarreferencia efectiva,Contrarreferencia efectiva,Remisiones oportunas
Remisión y referencia oportuna,Contrarreferencia efectiva,Contrarreferencia efectiva,Contrarreferencias recibidas
Remisión y referencia oportuna,Contrarreferencia efectiva,Contrarreferencia efectiva,Seguimiento de remisiones
Remisión y referencia oportuna,Contrarreferencia efectiva,Seguimiento de remisiones,Remisiones oportunas
Remisión y referencia oportuna,Contrarreferencia efectiva,Seguimiento de remisiones,Contrarreferencias recibidas
Remisión y referencia oportuna,Contrarreferencia efectiva,Seguimiento de remisiones,Seguimiento de remisiones
Remisión y referencia oportuna,Seguimiento de remisiones,Referencia oportuna,Remisiones oportunas
Remisión y referencia oportuna,Seguimiento de remisiones,Referencia oportuna,Contrarreferencias recibidas
Remisión y referencia oportuna,Seguimiento de remisiones,Referencia oportuna,Seguimiento de remisiones
Remisión y referencia oportuna,Seguimiento de remisiones,Contrarreferencia efectiva,Remisiones oportunas
Remisión y referencia oportuna,Seguimiento de remisiones,Contrarreferencia efectiva,Contrarreferencias recibidas
Remisión y referencia oportuna,Seguimiento de remisiones,Contrarreferencia efectiva,Seguimiento de remisiones
Remisión y referencia oportuna,Seguimiento de remisiones,Seguimiento de remisiones,Remisiones oportunas
Remisión y referencia oportuna,Seguimiento de remisiones,Seguimiento de remisiones,Contrarreferencias recibidas
Remisión y referencia oportuna,Seguimiento de remisiones,Seguimiento de remisiones,Seguimiento de remisiones
Remisión y referencia oportuna,Referencia oportuna,Referencia oportuna,Remisiones oportunas
Remisión y referencia oportuna,Referencia oportuna,Referencia oportuna,Contrarreferencias recibidas
Remisión y referencia oportuna,Referencia oportuna,Referencia oportuna,Seguimiento de remisiones
Remisión y referencia oportuna,Referencia oportuna,Contrarreferencia efectiva,Remisiones oportunas
Remisión y referencia oportuna,Referencia oportuna,Contrarreferencia efectiva,Contrarreferencias recibidas
Remisión y referencia oportuna,Referencia oportuna,Contrarreferencia efectiva,Seguimiento de remisiones
Remisión y referencia oportuna,Referencia oportuna,Seguimiento de remisiones,Remisiones oportunas
Remisión y referencia oportuna,Referencia oportuna,Seguimiento de remisiones,Contrarreferencias recibidas
Remisión y referencia oportuna,Referencia oportuna,Seguimiento de remisiones,Seguimiento de remisiones
